"Statistic Label","Year","Road User Type","UNIT","VALUE"
"Fatalities","2019","Pedestrians","Number","27"
"Fatalities","2019","Pedal cyclists","Number",""
"Fatalities","2019","Motor cyclists","Number","16"
"Fatalities","2019","Drivers","Number","74"
"Fatalities","2020","Pedestrians","Number","32"
"Fatalities","2020","Pedal cyclists","Number","10"
"Fatalities","2020","Motor cyclists","Number","17"
"Fatalities","2020","Drivers","Number","58"
"Fatalities","2021","Pedestrians","Number","19"
"Fatalities","2021","Pedal cyclists","Number","7"
"Fatalities","2021","Motor cyclists","Number","22"
"Fatalities","2021","Drivers","Number","67"
"Fatalities","2022","Pedestrians","Number","42"
"Fatalities","2022","Pedal cyclists","Number","7"
"Fatalities","2022","Motor cyclists","Number","23"
"Fatalities","2022","Drivers","Number","58"
"Fatalities","2023","Pedestrians","Number","44"
"Fatalities","2023","Pedal cyclists","Number","9"
"Fatalities","2023","Motor cyclists","Number","26"
"Fatalities","2023","Drivers","Number","67"
"Fatalities","2024","Pedestrians","Number",""
"Fatalities","2024","Pedal cyclists","Number","12"
"Fatalities","2024","Motor cyclists","Number","17"
"Fatalities","2024","Drivers","Number",""
"Serious injuries","2019","Pedestrians","Number","301"
"Serious injuries","2019","Pedal cyclists","Number",""
"Serious injuries","2019","Motor cyclists","Number","226"
"Serious injuries","2019","Drivers","Number","461"
"Serious injuries","2020","Pedestrians","Number","226"
"Serious injuries","2020","Pedal cyclists","Number","268"
"Serious injuries","2020","Motor cyclists","Number","147"
"Serious injuries","2020","Drivers","Number","389"
"Serious injuries","2021","Pedestrians","Number","218"
"Serious injuries","2021","Pedal cyclists","Number","314"
"Serious injuries","2021","Motor cyclists","Number","186"
"Serious injuries","2021","Drivers","Number","464"
"Serious injuries","2022","Pedestrians","Number","372"
"Serious injuries","2022","Pedal cyclists","Number","274"
"Serious injuries","2022","Motor cyclists","Number","198"
"Serious injuries","2022","Drivers","Number","554"
"Serious injuries","2023","Pedestrians","Number","309"
"Serious injuries","2023","Pedal cyclists","Number","224"
"Serious injuries","2023","Motor cyclists","Number","175"
"Serious injuries","2023","Drivers","Number","485"
"Serious injuries","2024","Pedestrians","Number",""
"Serious injuries","2024","Pedal cyclists","Number","198"
"Serious injuries","2024","Motor cyclists","Number","178"
"Serious injuries","2024","Drivers","Number",""
"All fatalities and serious injuries","2019","Pedestrians","Number","328"
"All fatalities and serious injuries","2019","Pedal cyclists","Number",""
"All fatalities and serious injuries","2019","Motor cyclists","Number","242"
"All fatalities and serious injuries","2019","Drivers","Number","535"
"All fatalities and serious injuries","2020","Pedestrians","Number","258"
"All fatalities and serious injuries","2020","Pedal cyclists","Number","278"
"All fatalities and serious injuries","2020","Motor cyclists","Number","164"
"All fatalities and serious injuries","2020","Drivers","Number","447"
"All fatalities and serious injuries","2021","Pedestrians","Number","237"
"All fatalities and serious injuries","2021","Pedal cyclists","Number","321"
"All fatalities and serious injuries","2021","Motor cyclists","Number","208"
"All fatalities and serious injuries","2021","Drivers","Number","531"
"All fatalities and serious injuries","2022","Pedestrians","Number","414"
"All fatalities and serious injuries","2022","Pedal cyclists","Number","281"
"All fatalities and serious injuries","2022","Motor cyclists","Number","221"
"All fatalities and serious injuries","2022","Drivers","Number","612"
"All fatalities and serious injuries","2023","Pedestrians","Number","353"
"All fatalities and serious injuries","2023","Pedal cyclists","Number","233"
"All fatalities and serious injuries","2023","Motor cyclists","Number","201"
"All fatalities and serious injuries","2023","Drivers","Number","552"
"All fatalities and serious injuries","2024","Pedestrians","Number",""
"All fatalities and serious injuries","2024","Pedal cyclists","Number","210"
"All fatalities and serious injuries","2024","Motor cyclists","Number","195"
"All fatalities and serious injuries","2024","Drivers","Number",""
